Text	Name	Category	Difficulty	Notes
Sad Boy - Custard Cookie: This dessert vape features rich {{c1::cookie}} dough with creamy {{c2::custard}} undertones for a bakery-fresh experience.	Sad Boy - Custard Cookie	Dessert	Beginner	Rich cookie dough with custard
Big Bottle Co - Electric Lemonade: An electrifying blend combining tangy {{c1::blue raspberry}} with refreshing {{c2::lemonade}} for a vibrant summer taste.	Big Bottle Co - Electric Lemonade	Citrus	Intermediate	Blue raspberry and lemonade blend
Sad Boy - Pumpkin Cookie: Fall-inspired comfort with warm {{c1::pumpkin}} spice and fresh {{c2::cookie dough}} creating the perfect autumn treat.	Sad Boy - Pumpkin Cookie	Dessert	Beginner	Pumpkin spice and cookie dough
Sad Boy - Pink: A carnival fantasy mixing sweet {{c1::strawberry}} with fluffy {{c2::cotton candy}} for pure nostalgic bliss.	Sad Boy - Pink	Carnival	Intermediate	Strawberry and cotton candy
Twist - Crimson No. 1: Classic crimson blend featuring juicy {{c1::strawberry}} perfectly balanced with tart {{c2::lemonade}} refreshment.	Twist - Crimson No. 1	Berry	Intermediate	Strawberry and lemonade
Twist - Berry Amber: S'mores-inspired delight with crunchy {{c1::graham crackers}}, sweet {{c2::strawberry jam}}, and golden {{c3::honey}} drizzle.	Twist - Berry Amber	Dessert	Advanced	Graham crackers, strawberry jam, honey
Phoenix - Peaches: Simple summer pleasure combining ripe {{c1::peaches}} with rich {{c2::cream}} for a smooth, fruity indulgence.	Phoenix - Peaches	Fruit	Beginner	Peaches and cream
Twist - Crimson Crush No. 1: Intense crimson experience blending sweet {{c1::strawberry}} with zesty {{c2::lemonade}} for maximum flavor impact.	Twist - Crimson Crush No. 1	Berry	Intermediate	Strawberry and lemonade intense blend
Aqua - Mist: Tropical trio featuring crisp {{c1::apple}}, juicy {{c2::peach}}, and tangy {{c3::kiwi}} in perfect harmony.	Aqua - Mist	Tropical	Advanced	Apple, peach, kiwi trio
Naked 100 - Strawberry Pom: Antioxidant-rich blend combining sweet {{c1::strawberry}}, exotic {{c2::kiwi}}, and tart {{c3::pomegranate}} superfruit.	Naked 100 - Strawberry Pom	Berry	Advanced	Strawberry, kiwi, pomegranate
Naked 100 - Euro Gold: Premium tobacco experience showcasing authentic {{c1::Caribbean tobacco}} leaves for connoisseurs.	Naked 100 - Euro Gold	Tobacco	Beginner	Caribbean tobacco leaves
Bad Drip - Cereal Trip: Breakfast cereal adventure with colorful {{c1::fruity cereal}}, cold {{c2::milk}}, and a {{c3::frosted donut}} twist.	Bad Drip - Cereal Trip	Breakfast	Advanced	Fruity cereal, milk, frosted donut
Naked 100 - American Patriot: All-American classic featuring smooth {{c1::tobacco}} blend for traditional vaping enthusiasts.	Naked 100 - American Patriot	Tobacco	Beginner	Smooth tobacco blend
Naked 100 - Really Berry: Berry medley combining dark {{c1::blackberry}}, sweet {{c2::blueberry}}, and bright {{c3::lemon}} citrus notes.	Naked 100 - Really Berry	Berry	Advanced	Blackberry, blueberry, lemon
Twist - Red No. 1: Refreshing red blend mixing juicy {{c1::watermelon}} with tangy {{c2::lemonade}} for summer perfection.	Twist - Red No. 1	Fruit	Intermediate	Watermelon and lemonade
