id	question	answer	category	difficulty
sad-boy-custard-cookie-001	Sad Boy - Custard Cookie: This dessert vape features rich {{c1::cookie}} dough with creamy {{c2::custard}} undertones for a bakery-fresh experience.	Sad Boy - Custard Cookie	Dessert	Beginner
big-bottle-co-electric-lemonade-002	Big Bottle Co - Electric Lemonade: An electrifying blend combining tangy {{c1::blue raspberry}} with refreshing {{c2::lemonade}} for a vibrant summer taste.	Big Bottle Co - Electric Lemonade	Citrus	Intermediate
sad-boy-pumpkin-cookie-003	Sad Boy - Pumpkin Cookie: Fall-inspired comfort with warm {{c1::pumpkin}} spice and fresh {{c2::cookie dough}} creating the perfect autumn treat.	Sad Boy - Pumpkin Cookie	Dessert	Beginner
sad-boy-pink-004	Sad Boy - Pink: A carnival fantasy mixing sweet {{c1::strawberry}} with fluffy {{c2::cotton candy}} for pure nostalgic bliss.	Sad Boy - Pink	Carnival	Intermediate
twist-crimson-no-1-005	Twist - Crimson No. 1: Classic crimson blend featuring juicy {{c1::strawberry}} perfectly balanced with tart {{c2::lemonade}} refreshment.	Twist - Crimson No. 1	Berry	Intermediate
twist-berry-amber-006	Twist - Berry Amber: S'mores-inspired delight with crunchy {{c1::graham crackers}}, sweet {{c2::strawberry jam}}, and golden {{c3::honey}} drizzle.	Twist - Berry Amber	Dessert	Advanced
phoenix-peaches-007	Phoenix - Peaches: Simple summer pleasure combining ripe {{c1::peaches}} with rich {{c2::cream}} for a smooth, fruity indulgence.	Phoenix - Peaches	Fruit	Beginner
twist-crimson-crush-no-1-008	Twist - Crimson Crush No. 1: Intense crimson experience blending sweet {{c1::strawberry}} with zesty {{c2::lemonade}} for maximum flavor impact.	Twist - Crimson Crush No. 1	Berry	Intermediate
aqua-mist-009	Aqua - Mist: Tropical trio featuring crisp {{c1::apple}}, juicy {{c2::peach}}, and tangy {{c3::kiwi}} in perfect harmony.	Aqua - Mist	Tropical	Advanced
naked-100-strawberry-pom-010	Naked 100 - Strawberry Pom: Antioxidant-rich blend combining sweet {{c1::strawberry}}, exotic {{c2::kiwi}}, and tart {{c3::pomegranate}} superfruit.	Naked 100 - Strawberry Pom	Berry	Advanced
