id	question	answer	category	difficulty
raz-ruby-001	Raz - Ruby: A tasty mix of {{c1::cherry}}, {{c2::strawberry}}, and {{c3::raspberry}} flavors in a dream edition blend.	Raz - Ruby	Berry	Intermediate
raz-tiffany-002	Raz - Tiffany: A refreshing blend of {{c1::kiwi}} and {{c2::watermelon}} for a light {{c3::summer}} vape.	Raz - Tiffany	Fruit	Beginner
raz-violet-003	Raz - Violet: Sweet {{c1::grape}} and {{c2::strawberry}} flavors come together in harmonious fashion.	Raz - Violet	Berry	Intermediate
raz-vicky-004	Raz - Vicky: {{c1::Pink lemonade}} that tastes like {{c2::summer}} refreshment.	Raz - Vicky	Citrus	Beginner
raz-banana-coconut-005	Raz - Banana Coconut: Creamy {{c1::banana}} paired with smooth {{c2::coconut}} {{c3::tropical}} sweetness.	Raz - Banana Coconut	Tropical	Beginner
raz-black-cherry-peach-006	Raz - Black Cherry Peach: Sweet {{c1::black cherry}} mixed with {{c2::juicy}} {{c3::peach}} for garden-fresh taste.	Raz - Black Cherry Peach	Berry	Intermediate
raz-black-cherry-kiwi-007	Raz - Black Cherry Kiwi: {{c1::Bold}} {{c2::black cherry}} with {{c3::tangy}} {{c4::kiwi}} zest creating vibrant flavor.	Raz - Black Cherry Kiwi	Berry	Advanced
raz-blue-raz-ice-008	Raz - Blue Raz Ice: {{c1::Blue raspberry}} with {{c2::icy}} finish for {{c3::cool}} refreshment.	Raz - Blue Raz Ice	Berry	Beginner
raz-blue-raz-cotton-candy-009	Raz - Blue Raz Cotton Candy: {{c1::Sweet}} {{c2::blue raspberry}} meets {{c3::fluffy}} {{c4::cotton candy}} nostalgia.	Raz - Blue Raz Cotton Candy	Carnival	Intermediate
raz-blue-raz-gush-010	Raz - Blue Raz Gush: Explosive {{c1::blue raspberry}} {{c2::candy}} flavor bursting with sweetness.	Raz - Blue Raz Gush	Carnival	Intermediate
raz-blueberry-watermelon-011	Raz - Blueberry Watermelon: {{c1::Juicy}} {{c2::blueberry}} and {{c3::watermelon}} combination for refreshing experience.	Raz - Blueberry Watermelon	Berry	Beginner
